Dummy,1,,dummy 
主动脉,1,主动脉,主动脉
主动脉瓣,1,主动脉瓣,主动脉瓣
肺动脉,1,肺动脉,肺动脉
肺动脉瓣,1,肺动脉瓣,肺动脉瓣
升主动脉,4,升主动脉,主动脉 升
升主动脉,4,主动脉升部,主动脉 部 升
升主动脉,4,上行织脉,行 脉 织 上
升主动脉,4,上行支大动脉,动脉 行 支 大 上
降主动脉,4,降主动脉,主动脉 降
降主动脉,4,主动脉降部,主动脉 降 部
降主动脉,4,下行织脉,行 脉 织 下
降主动脉,4,下行支大动脉,动脉 行 支 大 下
主动脉弓,4,主动脉弓,主动脉弓
主动脉弓,4,织脉弓,脉 织 弓
主动脉弓,4,弓动脉,动脉 弓
主动脉弓,4,主动脉弓部,主动脉弓 部
上主动脉瓣区,3,上主动脉瓣区,主动脉瓣 区 上
上主动脉瓣区,3,主动脉根部,主动脉 部 根
上主动脉瓣区,3,主动脉根,主动脉 根
腹主动脉,1,腹主动脉,主动脉 腹
房间隔,3,房间隔,间隔 房
房间隔,3,心房间隔,间隔 心房
房间隔,3,心房中隔,心房 中隔
室间隔,3,室间隔,间隔 室
室间隔,3,心室间隔,间隔 心室
室间隔,3,心室中隔,心室 中隔
心脏卵圆孔,2,心脏卵圆孔,心脏 孔 圆 卵
心脏卵圆孔,2,卵圆孔,孔 圆 卵
左心房,2,左心房,心房 左
左心房,2,左房,房 左
左心耳,1,左心耳,耳 心 左
右心房,2,右心房,心房 右
右心房,2,右房,房 右
二尖瓣,2,二尖瓣,二尖瓣
二尖瓣,2,僧帽瓣,瓣 帽 僧
二尖瓣前叶,1,二尖瓣前叶,二尖瓣 叶 前
三尖瓣,1,三尖瓣,三尖瓣
冠状窦,3,冠状窦,冠状 窦
冠状窦,3,冠状静脉窦,静脉 冠状 窦
冠状窦,3,冠窦,窦 冠
冠状窦瓣,3,冠状窦瓣,冠状 窦 瓣
冠状窦瓣,3,冠状瓣,冠状 瓣
冠状窦瓣,3,冠瓣,瓣 冠
心尖,1,心尖,心 尖
心包,1,心包,心包
心包腔,1,心包腔,心包 腔
希阿里氏网,2,希阿里氏网,阿 里 网 氏 希
希阿里氏网,2,氏网,chiari 网 氏
下腔静脉瓣,4,下腔静脉瓣,下腔静脉 瓣
下腔静脉瓣,4,下腔静脉瓣,下腔静脉 瓣
下腔静脉瓣,4,腔静脉瓣,腔静脉 瓣
下腔静脉瓣,4,欧氏瓣,瓣 氏 欧
下腔静脉,1,下腔静脉,下腔静脉
左心室,4,左心室,左心室
左心室,4,左心室腔,左心室 腔
左心室,4,左室腔,左室 腔
左心室,4,左室,左室
右心室,4,右心室,右心室
右心室,4,右心室腔,右心室 腔
右心室,4,右室腔,腔 室 右
右心室,4,右室,室 右
肺部大静脉,1,肺部大静脉,静脉 部 肺 大
冠状动脉,2,冠状动脉,冠状动脉
冠状动脉,2,冠脉,冠脉
左侧冠状动脉,4,左侧冠状动脉,冠状动脉 左侧
左侧冠状动脉,4,左冠状动脉,冠状动脉 左
左侧冠状动脉,4,左冠脉,冠脉 左
左侧冠状动脉,4,左冠,左 冠
右侧冠状动脉,4,右侧冠状动脉,冠状动脉 右侧
右侧冠状动脉,4,右冠状动脉,冠状动脉 右
右侧冠状动脉,4,右冠脉,冠脉 右
右侧冠状动脉,4,右冠,右 冠
左上肺静脉,1,左上肺静脉,肺静脉 左 上
无名静脉,2,无名静脉,静脉 无名
无名静脉,2,头臂静脉,静脉 臂 头
上腔静脉造影,2,上腔静脉造影,腔静脉 造影 上
上腔静脉造影,2,上腔静脉荧光造影术,腔静脉 造影 荧 术 光 上
右肺静脉,3,右肺静脉,肺静脉 右
右肺静脉,3,肺右静脉,静脉 肺 右
右肺静脉,3,右侧肺静脉,肺静脉 右侧
左肺静脉,3,左肺静脉,肺静脉 左
左肺静脉,3,肺左静脉,静脉 肺 左
左肺静脉,3,左侧肺静脉,肺静脉 左侧
大动脉,1,大动脉,动脉 大
心脏,2,心脏,心脏
心脏,2,全心,心 全
右侧心脏,3,右侧心脏,心脏 右侧
右侧心脏,3,右心,心 右
右侧心脏,3,右心腔,腔 心 右
左侧心脏,3,左侧心脏,心脏 左侧
左侧心脏,3,左心,心 左
左侧心脏,3,左心腔,腔 心 左
动脉导管,1,动脉导管,动脉导管
锁骨下动脉,1,锁骨下动脉,下动脉 锁骨
共同动脉干瓣,1,共同动脉干瓣,动脉 瓣 干 同 共
半月瓣,1,半月瓣,半月 瓣
胸腔,1,胸腔,胸腔
颈总动脉,1,颈总动脉,总动脉 颈
左侧颈总动脉,2,左侧颈总动脉,总动脉 左侧 颈
左侧颈总动脉,2,左颈总动脉,总动脉 颈 左
右侧颈总动脉,2,右侧颈总动脉,总动脉 右侧 颈
右侧颈总动脉,2,右颈总动脉,总动脉 颈 右
颈内动脉,1,颈内动脉,内动脉 颈
左侧颈动脉,2,左侧颈动脉,颈动脉 左侧
左侧颈动脉,2,左颈动脉,颈动脉 左
右侧颈动脉,2,右侧颈动脉,颈动脉 右侧
右侧颈动脉,2,右颈动脉,颈动脉 右
椎动脉,2,椎动脉,动脉 椎
椎动脉,2,椎动脉,动脉 椎
左侧椎动脉,2,左侧椎动脉,左侧 动脉 椎
左侧椎动脉,2,左椎动脉,动脉 椎 左
右侧椎动脉,2,右侧椎动脉,右侧 动脉 椎
右侧椎动脉,2,右椎动脉,动脉 椎 右
颈动脉,1,颈动脉,颈动脉
股总动脉,1,股总动脉,总动脉 股
股浅动脉,1,股浅动脉,动脉 股 浅
腘动脉,1,腘动脉,动脉 腘
胫前动脉,1,胫前动脉,前动脉 胫
胫后动脉,1,胫后动脉,动脉 胫 后
房室瓣,1,房室瓣,房室瓣
髂总静脉,1,髂总静脉,静脉 髂 总
右侧髂总静脉,2,右侧髂总静脉,静脉 右侧 髂 总
右侧髂总静脉,2,右髂总静脉,静脉 髂 总 右
左侧髂总静脉,2,左侧髂总静脉,静脉 左侧 髂 总
左侧髂总静脉,2,左髂总静脉,静脉 髂 总 左
髂外静脉,1,髂外静脉,静脉 髂 外
髂内静脉,1,髂内静脉,静脉 髂 内
右肾动脉,1,右肾动脉,动脉 肾 右
左肾动脉,1,左肾动脉,动脉 肾 左
肝静脉,1,肝静脉,静脉 肝
腔静脉,1,腔静脉,腔静脉
心脏卵圆窝,2,心脏卵圆窝,心脏 窝 圆 卵
心脏卵圆窝,2,卵圆窝,窝 圆 卵
解剖或后天身体结构,1,解剖或后天身体结构,身体 结构 后天 解 或 剖
解剖结构,1,解剖结构,结构 解 剖
人体系统,1,人体系统,系统 体 人
人体区域,1,人体区域,区域 体 人
人体部位,1,人体部位,部位 体 人
人体器官,1,人体器官,器官 体 人
人体组织,1,人体组织,组织 体 人
上半身,2,上半身,身 半 上
上半身,2,上身,身 上
上半身部分,1,上半身部分,部分 身 半 上
器官部分,1,器官部分,部分 器官
软组织,1,软组织,软组织
躯干,1,躯干,躯干
躯干区域细分,1,躯干区域细分,躯干 区域 细 分
下半身,2,下半身,身 半 下
下半身,2,下身,身 下
下半身部分,1,下半身部分,部分 身 半 下
颈部和[或]胸部和[或]腹部和[或]骨盆,1,颈部和或胸部和或腹部和或骨盆,骨盆 颈部 腹部 胸部 和或
头颈部,1,头颈部,颈部 头
颈部和[或]胸部和[或]腹部,1,颈部和或胸部和或腹部,颈部 腹部 胸部 和或
肢体,1,肢体,肢 体
四肢部分,1,四肢部分,部分 肢 四
胸部和[或]腹部和[或]骨盆,1,胸部和或腹部和或骨盆,骨盆 腹部 胸部 和或
头颅,1,头颅,颅 头
头部,1,头部,头部
胸部和[或]腹部,1,胸部和或腹部,腹部 胸部 和或
下躯干,1,下躯干,躯干 下
骨盆和[或]下肢,1,骨盆和或下肢,骨盆 和或 下肢
颈部和[或]胸部,1,颈部和或胸部,颈部 胸部 和或
解剖学集合,1,解剖学集合,集 解 学 合 剖
解剖学腔隙,1,解剖学腔隙,隙 解 腔 学 剖
神经系统,1,神经系统,神经系统
心血管系统,1,心血管系统,心血管 系统
间隔室,2,间隔室,间隔 室
间隔室,2,体室,室 体
腹部和[或]骨盆,1,腹部和或骨盆,骨盆 腹部 和或
躯干腹段,1,躯干腹段,躯干 腹 段
半身外侧至中矢状面,1,半身外侧至中矢状面,外侧 面 身 至 矢 状 半 中
下肢,2,下肢,下肢
下肢,2,腿,腿
上躯干,1,上躯干,躯干 上
下肢部分,1,下肢部分,部分 下肢
面部和[或]颈部,1,面部和或颈部,颈部 面部 和或
解剖学空间,1,解剖学空间,间 解 空 学 剖
腹部,1,腹部,腹部
心血管区域,2,心血管区域,心血管 区域
心血管区域,2,心血管区,心血管 区
血管,1,血管,血管
下肢区域,2,下肢区域,区域 下肢
下肢区域,2,下肢区,下肢 区
胸部,1,胸部,胸部
内脏,4,内脏,脏 内
内脏,4,脏器,脏 器
内脏,4,腑脏,腑 脏
内脏,4,脏腑,腑 脏
自由下肢,1,自由下肢,下肢 自 由
血管区域,2,血管区域,血管 区域
血管区域,2,血管区,血管 区
消化系统,1,消化系统,系统 消化
躯干骨盆区域,2,躯干骨盆区域,骨盆 躯干 区域
躯干骨盆区域,2,躯干骨盆区,骨盆 躯干 区
头部外侧至中矢状面,1,头部外侧至中矢状面,头部 外侧 面 至 矢 状 中
背部，包括颈后部,1,背部包括颈后部,背部 包括 颈 部 后
中枢神经系统,1,中枢神经系统,中枢神经系统
腹部腔室,1,腹部腔室,腹部 腔 室
背部区域,2,背部区域,背部 区域
背部区域,2,背区,背 区
消化器官,1,消化器官,消化 器官
背部椎体区,2,背部椎体区,背部 椎体 区
背部椎体区,2,背脊,脊 背
躯干心血管,1,躯干心血管,心血管 躯干
颅腔,1,颅腔,颅 腔
颅内,2,颅内,颅内
颅内,2,头盖骨内,骨 盖 头 内
全身循环系统,1,全身循环系统,系统 循环 全身
泌尿生殖系统,1,泌尿生殖系统,系统 生殖 泌尿
外周血管系统,2,外周血管系统,血管 系统 外周
外周血管系统,2,周围血管系统,血管 系统 周围
腹部器官,2,腹部器官,腹部 器官
腹部器官,2,腹内器官,器官 腹 内
腹部内脏,3,腹部内脏,腹部 脏 内
腹部内脏,3,腹部脏器,腹部 脏 器
腹部内脏,3,腹内脏器,腹 脏 器 内
动脉系统,1,动脉系统,系统 动脉
动脉,1,动脉,动脉
骨盆,2,骨盆,骨盆
骨盆,2,盆腔,盆腔
头皮和[或]颈部,1,头皮和或颈部,颈部 头皮 和或
胸室,1,胸室,胸 室
颈部,2,颈部,颈部
颈部,2,脖颈,颈 脖
泌尿生殖系统细分,1,泌尿生殖系统细分,系统 生殖 泌尿 细 分
