subword,length
24,未知是道路交通事故或道路外非交通事故意图不确定的
18,车作为运输相关事件中受害者的运输方式
18,表面异物不伴有大开放性伤口但伴有感染
18,未知是道路交通事故或道路外非交通事故
18,兴奋剂包括苯丙胺甲基苯丙胺或甲卡西酮
17,除外淋巴造血中枢神经系统或相关组织
17,作为运输相关事件中受害者的运输方式
16,车作为陆地运输碰撞中受害者的对方
16,表浅异物不伴大开放性伤口但有感染
16,有关的影响照护的情况无损伤或伤害
15,的结缔组织皮下组织和其他软组织
15,在治疗中使用与损伤或伤害有关的
15,假体或其他植入物材料或辅助装置
15,作为陆地运输碰撞中受害者的对方
15,伴急性器官功能障碍的感染性休克
15,不伴开放性伤口的碎片伤并发感染
15,不伴开放性伤口的碎片伤合并感染
15,不伴开放性伤口的碎片伤伴发感染
14,遗传性非球形红细胞溶血性贫血
14,通过水路运输损伤事件进行加害
14,胎盆不称对胎儿或新生儿的影响
14,肌肉筋膜或肌腱的损伤未特指的
14,结缔组织皮下组织和其他软组织
14,的肌肉筋膜或肌腱的劳损或扭伤
14,感染性休克伴急性器官功能衰竭
14,异常起源于右冠状动脉主动脉窦
14,异常起源于主动脉窦至非面向窦
14,其他特指的与损伤或伤害有关的
14,与损伤或伤害有关的经皮入路的
14,与损伤或伤害有关的心血管装置
14,与损伤或伤害有关的开放入路的
14,与损伤或伤害有关的内镜入路的
14,不伴开放性伤口的碎片伤已感染
14,不伴开放性伤口的碎片伤伴感染
13,骨折闭合复位髓内针内固定术
13,骨折切开复位髓内针内固定术
13,陆地非交通运输损伤事件伤及
13,陆地运输碰撞中受害者的对方
13,表浅异物不伴大开放性伤口但
13,肩胛骨锁骨和胸廓肋骨和胸骨
13,睾丸支持细胞睾丸间质细胞瘤
13,病损破坏术含激光冷冻电灼等
13,牙本质发育不良的成骨不全症
13,牙本质发育不全的成骨不全症
13,未特指的与损伤或伤害有关的
13,朗格汉斯细胞组织细胞增生症
13,损伤或损害不可归类在他处者
13,房室瓣非二尖瓣或三尖瓣形态
13,意外陆地非交通运输事件伤及
13,双极Ⅱ障碍最近发作大抑郁性
13,关节或韧带的脱位劳损或扭伤
13,人获得性免疫缺陷综合征相关
12,骨折闭合复位钢针内固定术
12,骨折闭合复位螺钉内固定术
12,骨折切开复位钢针内固定术
12,骨折切开复位钢板内固定术
12,骨折切开复位螺钉内固定术
12,陆地交通运输损伤事件伤及
12,部分切除伴自体血管置换术
12,部分切除伴人工血管置换术
12,遗传性椭圆形红细胞增多症
12,运动或锻炼活动的类型田径
12,营养不良性大疱性表皮松解
12,获得性免疫缺陷综合征相关
12,药物对胎儿或新生儿的影响
12,耐甲氧西林金黄色葡萄球菌
12,病损切除术不伴吻合和置换
12,疾病对胎儿或新生儿的影响
12,流产异位妊娠或葡萄胎妊娠
12,未知或未特定精神活性物质
12,或其有害效应意图不确定的
12,或其有害效应下的故意自害
12,意外陆地交通运输事件伤及
12,并发症影响的胎儿或新生儿
12,并发人类免疫缺陷病毒感染
12,对胎儿或新生儿造成的影响
12,对胎儿或新生儿产生的影响
12,大的开放性伤口但伴有感染
12,合并人类免疫缺陷病毒感染
12,双极Ⅰ障碍最近发作躁狂性
12,双极Ⅰ障碍最近发作抑郁性
12,双极Ⅰ障碍单纯躁狂性发作
12,其他装置不可归类在他处者
12,伴发人类免疫缺陷病毒感染
11,骨骨折切开复位内固定术
11,骨折闭合性复位内固定术
11,闭合性骨折不伴脊髓损伤
11,部生物学行为未定性肿瘤
11,通入腹腔的开放性伤口的
11,血液造血器官或免疫系统
11,血栓性血小板减少性紫癜
11,药物对胎儿新生儿的影响
11,自动心脏复律器或除颤器
11,肿瘤放射性粒子植入术碘
11,继发性骨质疏松症引起的
11,相关限制性室间隔缺损致
11,的肌肉筋膜或肌腱的撕裂
11,的肌肉筋膜或肌腱的损伤
11,病损或组织的局部切除术
11,疾病对胎儿新生儿的影响
11,未知是交通或非交通事故
11,有害性使用模式未特指的
11,晶体所致软骨钙质沉着病
11,房室瓣非二尖瓣或三尖瓣
11,或韧带的脱位劳损或扭伤
11,或植入式心脏复律除颤器
11,恐怖性障碍不伴广场恐怖
11,急性短暂性精神病性障碍
11,引起的变应性接触性皮炎
11,异常影响的胎儿或新生儿
11,异常为主要特征的综合征
11,开放性骨折不伴脊髓损伤
11,并发于妊娠分娩或产褥期
11,对胎儿新生儿造成的影响
11,对胎儿新生儿产生的影响
11,大开放性伤口但伴有感染
11,多种特定的精神活性物质
11,区生物学行为未定性肿瘤
11,分离性药物包括氯胺酮或
11,其他特指的精神活性物质
11,其他特定的精神活性物质
11,先天性甲状腺功能减退症
11,假体或其他植入物材料或
11,修补术肌瓣或骨水泥填塞
11,伴有船只受损报废或损毁
11,伴人类免疫缺陷病毒感染
11,与损伤或伤害有关的经皮
11,与损伤或伤害有关的开放
11,与损伤或伤害有关的内镜
11,不并发腹腔开放性伤口的
11,不合并腹腔开放性伤口的
11,不伴有腹腔开放性伤口的
11,不伴发腹腔开放性伤口的
10,骨折闭合复位内固定术
10,骨折切开复位内固定术
10,非药物洗脱支架置入术
10,陆地运输损伤事件伤及
10,镇静催眠或抗焦虑药物
10,部皮肤和皮下组织结构
10,造成对呼吸的意外威胁
10,通过胎盘或乳汁转运的
10,通过水路运输损伤事件
10,通入腹腔的开放性伤口
10,运动或锻炼活动的类型
10,转移性恶性肿瘤转移至
10,血管环伴右位主动脉弓
10,营养不良相关性糖尿病
10,获得性免疫缺陷综合症
10,获得性免疫缺陷综合征
10,药物性或中毒性肝病伴
10,腕或手水平的其他手指
10,胸椎段之间的胸回旋肌
10,胃肠病学或泌尿科装置
10,肠沙门氏菌肠道亚种阿
10,肌肉筋膜或肌腱的损伤
10,肋结节非关节部分结构
10,结构发育异常未特指的
10,的症状体征或临床所见
10,疾患不可归类在他处者
10,生物学行为未知的肿瘤
10,生物学行为未定性肿瘤
10,生物学行为不定的肿瘤
10,珠蛋白生成障碍性贫血
10,治疗非手术或康复装置
10,朗格汉斯细胞组织细胞
10,有害性使用模式间断性
10,有害性使用模式持续性
10,整个左冠状动脉回旋支
10,整个左冠状动脉前降支
10,损害不可归类在他处者
10,或其有害效应进行加害
10,慢性胆囊炎的胆囊结石
10,感染性休克伴急性器官
10,意外陆地运输事件伤及
10,恐怖性障碍伴广场恐怖
10,心内膜弹力纤维增生症
10,异常起源于右冠状动脉
10,异常起源于主动脉窦至
10,建筑物或场地的一部分
10,并发妊娠分娩和产褥期
10,左房室瓣非二尖瓣形态
10,对胎儿或新生儿的影响
10,家族性淀粉样多神经病
10,完全性肺静脉异位引流
10,在运输相关事件中受伤
10,右房室瓣非三尖瓣形态
10,右冠状动脉异常起源于
10,功能障碍的感染性休克
10,创伤性切断残端修整术
10,列神经刺激脉冲发生器
10,分离性药物包括氯胺酮
10,分离性神经症状障碍伴
10,分娩的活胎破坏性手术
10,使用所致障碍未特指的
10,作为损伤或伤害的方式
10,传染性单核细胞增多症
10,人类免疫缺陷病毒感染
10,之间水平的创伤性切断
10,中毒性表皮坏死松解症
10,不完全性房室传导阻滞
